timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-05-02,3530.5000,3532.2000,3471.3000,3495.5500,3495.5500,702226,0.0000,1.0000
2018-04-30,3451.9500,3549.0000,3437.6001,3532.1001,3532.1001,1729279,0.0000,1.0000
2018-04-27,3525.0000,3544.0000,3420.0000,3451.9500,3451.9500,2250665,0.0000,1.0000
2018-04-26,3467.0000,3560.0000,3467.0000,3539.2500,3539.2500,6067517,0.0000,1.0000
2018-04-25,3385.0000,3483.0000,3365.0500,3470.2500,3470.2500,4098287,0.0000,1.0000
2018-04-24,3410.0000,3443.1499,3342.5000,3385.6499,3385.6499,4157168,0.0000,1.0000
2018-04-23,3424.0000,3557.8999,3389.5500,3408.6499,3408.6499,7592955,0.0000,1.0000
2018-04-20,3250.0000,3422.3501,3240.0000,3402.4500,3402.4500,9232831,0.0000,1.0000
2018-04-19,3179.8999,3217.2000,3165.7500,3191.1499,3191.1499,2410476,0.0000,1.0000
2018-04-18,3166.0000,3193.4500,3145.8501,3159.1001,3159.1001,1216533,0.0000,1.0000
2018-04-17,3187.6499,3194.9500,3147.2000,3166.6001,3166.6001,1650862,0.0000,1.0000
2018-04-16,3116.0000,3199.9500,3110.7500,3187.6499,3187.6499,3135137,0.0000,1.0000
2018-04-13,3150.0000,3240.8000,3132.1001,3153.3000,3153.3000,4089559,0.0000,1.0000
2018-04-12,3010.0000,3150.0000,3007.9500,3139.2500,3139.2500,3057180,0.0000,1.0000
2018-04-11,2950.6001,3025.0000,2945.6001,3014.1499,3014.1499,1562208,0.0000,1.0000
2018-04-10,2925.7000,2957.2500,2925.7000,2937.6001,2937.6001,592266,0.0000,1.0000
2018-04-09,2939.7000,2963.5000,2915.0000,2923.8999,2923.8999,617933,0.0000,1.0000
2018-04-06,2954.0000,2960.0000,2926.5500,2950.3000,2950.3000,564509,0.0000,1.0000
2018-04-05,2926.5500,2963.7500,2920.3501,2957.9500,2957.9500,904712,0.0000,1.0000
2018-04-04,2929.4500,2934.0000,2892.0000,2910.8999,2910.8999,1420910,0.0000,1.0000
2018-04-03,2892.1001,2929.8999,2892.1001,2911.2500,2911.2500,968645,0.0000,1.0000
2018-04-02,2840.0000,2914.0000,2840.0000,2909.6499,2909.6499,831494,0.0000,1.0000
2018-03-28,2835.8999,2875.0000,2825.0000,2849.1499,2849.1499,3432827,0.0000,1.0000
2018-03-27,2825.0000,2863.0000,2823.0500,2847.7000,2847.7000,1247287,0.0000,1.0000
